,0.0,groupid,洗精煤,其他洗煤,型煤,焦炭,焦炉煤气,其他煤气,其他焦化产品,原油,汽油,煤油,柴油,燃料油,其他石油产品,天然气
,0.0,原煤,洗精煤,其他洗煤,型煤,焦炭,焦炉煤气,其他煤气,其他焦化产品,原油,汽油,煤油,柴油,燃料油,其他石油产品,天然气
,0.0,104 tn,104 tn,104 tn,104 tn,104 tn,108 cu.m,108 cu.m,104 tn,104 tn,104 tn,104 tn,104 tn,104 tn,104 tn,108 cu.m
Scrap and waste,38.0,1.22765356443542,0,0,0,0.0409022967553773,0,0,0,0,0.0449468848693655,0,0.186279901017322,0.0559527121001391,0,0
"Electric Power, Steam and Hot Water Production and Supply",39.0,2.25217020813692,0,0,0,0,0,0,0,0,0.539362618432386,0,0.111767940610393,0.179048678720445,0,0
Gas Production and Supply,40.0,1.96071288708391,0.179336136096989,0.0145267892061009,0,0.061353445133066,4.64537250786988,0.325384615384615,0,0,0.206755670399081,0,0.0838259554577949,0,0.0110491898992848,0.0234646374216652
Tap Water Production and Supply,41.0,0.291457321053013,0,0,0,0,0,0,0,0,0.0988831467126041,0,0.0279419851525983,0,0,0
Construction,42.0,10.49,0,0,0,0,0,0.02,0,0,26.44,0.01,33.68,8.08,13.77,0.02
"Transport, Storage, Postal & Telecommunications Services",43.0,1.91,0,0,0,0,0,0.15,0,0,112.98,399.34,197.87,577.58,32.22,0.37
"Wholesale, Retail Trade and Catering Service",44.0,38.54,0,0,0,0,0,1.96,0,0,62.41,0.01,86.22,3.62,8.58,1.49
Other,45.0,44.62,0,0,0,0,0.39867,1.12,0,0,97.55,0.04,126.29,1.79,42.23,3.83
Urban,46.0,33.3,0,0,0,0,0,3.71,0,0,145.89,0,23.88,0,20.98,8.27
Rural,47.0,7.89,0,0,0,0,0,0.2,0,0,22.97,0,18.71,0,7.15,1.66
